PrintISSN,EISSN,Title,Titles discontinued by Scopus due to quality issues
,28336747,Proceedings of International Conference on Research in Education and Science,
,2644108X,Proceedings of International Structural Engineering and Construction,
1939800X,,Proceedings of Meetings on Acoustics,
,18248039,Proceedings of Science,
0277786X,1996756X,Proceedings of SPIE - The International Society for Optical Engineering,
0585086X,,Proceedings of Stapp Car Crash Conference,
,,Proceedings of the 2002 International Conference on Dependable Systems and Networks,
,,Proceedings of the ACM Conference on Computer and Communications Security,
,,Proceedings of the ACM Conference on Computer Supported Cooperative Work,
,,"Proceedings of the ACM Conference on Computer Supported Cooperative Work, CSCW",
,,Proceedings of the ACM Conference on Electronic Commerce,
,,Proceedings of the ACM Conference on Hypertext,
,,"Proceedings of the ACM Great Lakes Symposium on VLSI, GLSVLSI",
,,Proceedings of the ACM International Conference on Digital Libraries,
,,Proceedings of the ACM International Multimedia Conference and Exhibition,
,,Proceedings of the ACM SIGACT-SIGMOD-SIGART Symposium on Principles of Database Systems,
,,Proceedings of the ACM SIGCPR Conference,
,,Proceedings of the ACM SIGGRAPH Conference on Computer Graphics,
,,Proceedings of the ACM SIGKDD International Conference on Knowledge Discovery and Data Mining,
,,Proceedings of the ACM SIGMIS CPR Conference,
,,Proceedings of the ACM SIGMOD International Conference on Management of Data,
,,"Proceedings of the ACM SIGPLAN Conference on Languages, Compilers, and Tools for Embedded Systems (LCTES)",
,,Proceedings of the ACM SIGPLAN Conference on Programming Language Design and Implementation (PLDI),
,,"Proceedings of the ACM SIGPLAN International Conference on Functional Programming, ICFP",
,,Proceedings of the ACM SIGPLAN Symposium on Partial Evaluation and Semantics-Based Program Manipulation,
,,"Proceedings of the ACM SIGPLAN Symposium on Principles and Practice of Parallel Programming, PPOPP",
,,Proceedings of the ACM SIGSOFT Symposium on the Foundations of Software Engineering,
,,Proceedings of the ACM Symposium on Applied Computing,
,,Proceedings of the ACM Workshop on Advances in Geographic Information Systems,
7431619,,Proceedings of the American Control Conference,
997250,,"Proceedings of the American Gas Association, Operating Section",
0003049X,,Proceedings of the American Philosophical Society,
,,Proceedings of the Annual ACM Symposium on Principles of Distributed Computing,
7378017,,Proceedings of the Annual ACM Symposium on Theory of Computing,
,,Proceedings of the Annual ACM-SIAM Symposium on Discrete Algorithms,
0732619X,,Proceedings of the Annual Conference on Explosives and Blasting Technique,
10930159,,Proceedings of the Annual IEEE Conference on Computational Complexity,
,,"Proceedings of the Annual International Conference on Computational Molecular Biology, RECOMB",
,,"Proceedings of the Annual International Conference on Mobile Computing and Networking, MOBICOM",
10506527,,Proceedings of the Annual ISA Analysis Division Symposium,
,,Proceedings of the Annual Meeting - Institute of Navigation,
1603663,,Proceedings of the Annual Offshore Technology Conference,
,,Proceedings of the Annual Southeastern Symposium on System Theory,
3615987,,Proceedings of the Annual Southwestern Petroleum Short Course,
,,Proceedings of the Annual Symposium on Computational Geometry,
967963,,Proceedings of the Annual Symposium on Instrumentation for the Process Industries,
,,"Proceedings of the Asia and South Pacific Design Automation Conference, ASP-DAC",
,19404204,Proceedings of the Asian Technology Conference in Mathematics,
10817735,,Proceedings of the Asian Test Symposium,
,,Proceedings of the ASME Design Engineering Technical Conference,
,,Proceedings of the ASME Summer Heat Transfer Conference,
,,Proceedings of the ASME Turbo Expo,
,,Proceedings of the Australian Asian Pacific Conference on Aluminium Cast House Technology,
,,"Proceedings of the Australian Software Engineering Conference, ASWEC",
,,"Proceedings of the Conference on Object-Oriented Programming Systems, Languages, and Applications, OOPSLA",
,,"Proceedings of the Conference on Traffic and Transportation Studies, ICTTS",
7364709,,Proceedings of the Corporate Aviation Safety Seminar,
8865930,,Proceedings of the Custom Integrated Circuits Conference,
10680314,,Proceedings of the Data Compression Conference,
,,Proceedings of the Drilling Conference,
,,Proceedings of the Eigtht IASTED International Conference on Software Engineering and Applications,
15345351,,"Proceedings of the Euromicro Conference on Software Maintenance and Reengineering, CSMR",
,,"Proceedings of the European Conference on Radiation and its Effects on Components and Systems, RADECS",
21974403,,"Proceedings of the European Conference on Synthetic Aperture Radar, EUSAR",
,,Proceedings of the European Petroleum Conference,
27066932,27066940,Proceedings of the European Wave and Tidal Energy Conference,
23654430,23655070,Proceedings of the Hamburg International Conference of Logistics,
