PrintISSN,EISSN,Title,Active or Inactive,Titles discontinued by Scopus due to quality issues,Source Type,Title history indication,Related title 1,Other related title 2,Other related title 3,Other related title 4,Publisher
18722032,,Acta Ecologica Sinica,Active,,Journal,,,,,,Ecological Society of China
18410987,1843066X,Acta Endocrinologica,Active,,Journal,Formerly known as,Romanian Journal of Endocrinology,,,,Acta Endocrinologica Foundation
3741036,18046487,Acta Entomologica Musei Nationalis Pragae,Active,,Journal,,,,,,National Museum/Narodni muzeum
20969384,25244434,Acta Epileptologica,Active,,Journal,,,,,,BioMed Central Ltd
14062283,22284699,Acta et Commentationes Universitatis Tartuensis de Mathematica,Active,,Journal,,,,,,Tartu University Press
12169803,15882586,Acta Ethnographica Hungarica,Active,,Journal,,,,,,Akademiai Kiado
8739749,14379546,Acta Ethologica,Active,,Journal,,,,,,Springer Verlag
3516083,22172521,Acta Facultatis Medicae Naissensis,Active,,Journal,,,,,,"University of Nis, Faculty of Medicine"
1803408X,25710273,Acta Facultatis Philosophicae Universitatis Ostravienis Studia Germanistica,Active,,Journal,,,,,,"University of Ostrava, Faculty of Arts"
13363824,,Acta Facultatis Xylologiae,Active,,Journal,,,,,,Technical University in Zvolen
1335258X,13369245,Acta Fytotechnica et Zootechnica,Active,,Journal,,,,,,Slovak University of Agriculture in Nitra
15644,,Acta Gastro-Enterologica Belgica,Active,,Journal,,,,,,Universa Press
3009033,,Acta Gastroenterologica Latinoamericana,Active,,Journal,,,,,,Sociedad Argentina de Gastroenterologia
20960956,23657499,Acta Geochimica,Active,,Journal,Formerly known as,Chinese Journal of Geochemistry,,,,Springer International Publishing AG
10011595,,Acta Geodaetica et Cartographica Sinica,Active,,Journal,,,,,,Editorial Department of Acta Geodaetica et Cartographica Sinica
22135812,22135820,Acta Geodaetica et Geophysica,Active,,Journal,Formerly known as,Acta Geodaetica et Geophysica Hungarica,,,,Akademiai Kiado
12149705,,Acta Geodynamica et Geomaterialia,Active,,Journal,,,,,,Academy of Sciences of the Czech Republic
651249,,Acta Geographica Lodziensia,Active,,Journal,,,,,,Lodzkie Towarzystwo Naukowe
15816613,15818314,Acta Geographica Slovenica,Active,,Journal,Formerly known as,Geographica Slovenica,Geografski Zbornik,,,"ZRC SAZU, Zalozba ZRC"
13386034,,Acta Geographica Universitatis Comenianae,Active,,Journal,,,,,,Comenius University in Bratislava
15709,,Acta Geologica Polonica,Active,,Journal,,,,,,"Polish Academy of Sciences, Committee of Geological Sciences"
10009515,17556724,Acta Geologica Sinica (English Edition),Active,,Journal,Formerly known as,Bulletin of the Geological Society of China,,,,John Wiley and Sons Inc.
